y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.65,0.24,-0.05,78,5.8,39790.43,290,13161.15,492260.41,6,18393,0.64,FO,C,购物中心,111,T1,93,5
0.67,0.39,-0.1,78,8.2,57854.53,289,1387.08,492260.41,4,10920,0.65,FO,C,购物中心,111,T1,93,5
0.68,0.43,0.6,78,7.9,68739.15,265,387.19,492260.41,3,16595,0.64,FO,C,购物中心,111,T1,93,5
0.69,0.46,0.32,76,8.2,83203.08,253,2970.56,492260.41,3,14695,0.65,FO,C,购物中心,111,T1,93,5
0.69,0.47,0.22,76,8.2,113258.56,245,4021.24,492260.41,7,14511,0.64,FO,C,购物中心,111,T1,93,5
0.67,0.42,0.18,76,8.1,71338.96,227,5414.48,492260.41,6,14216,0.62,FO,C,购物中心,111,T1,93,5
0.67,0.37,0,77,8.1,58905.34,239,5672.67,492260.41,4,14166,0.63,FO,C,购物中心,111,T1,93,5
0.67,0.42,0.08,77,8.2,81750.86,231,5071.58,492260.41,13,14938,0.63,FO,C,购物中心,111,T1,93,5
0.63,0.22,-0.41,77,7.9,39612.19,238,3862.51,492260.41,10,12241,0.61,FO,C,购物中心,111,T1,93,5
0.66,0.45,0.08,78,11.4,86524.36,247,4232.29,492260.41,9,13582,0.62,FO,C,购物中心,111,T1,93,5
0.69,0.39,0.37,78,6.8,117270.95,284,5209.57,492260.41,5,31571,0.65,FO,C,购物中心,111,T1,93,5
0.65,0.33,0.26,78,8.2,72084.6,322,5455.73,492260.41,7,13668,0.63,FO,C,购物中心,111,T1,93,5
0.62,0.22,0.26,80,8.1,50105.08,305,9679.09,492260.41,11,21332,0.59,FO,C,购物中心,111,T1,93,5
0.65,0.38,0.18,80,8.2,68287.94,304,4505.51,492260.41,6,16719,0.6,FO,C,购物中心,111,T1,93,5
0.61,0.33,0.05,80,8,72101.9,285,3062.77,492260.41,6,14238,0.58,FO,C,购物中心,111,T1,93,5
0.64,0.36,-0.11,78,8.3,73699.24,291,3817.26,492260.41,12,13915,0.67,FO,C,购物中心,111,T1,93,5
0.63,0.39,0.02,78,8.2,115806.41,255,4316.27,492260.41,7,24597,0.6,FO,C,购物中心,111,T1,93,5
0.65,0.34,-0.07,78,8.1,66339.5,260,6053.61,492260.41,12,14979,0.64,FO,C,购物中心,111,T1,93,5
0.59,0.24,-0.11,79,8,52735.75,238,2297.52,492260.41,7,7915,0.55,FO,C,购物中心,111,T1,93,5
0.62,0.26,-0.31,79,8,56485.36,230,1695.56,492260.41,6,13793,0.59,FO,C,购物中心,111,T1,93,5
0.58,0.22,0.63,79,8.3,64445.37,230,25782.79,492260.41,4,11542,0.53,FO,C,购物中心,111,T1,93,5
0.46,0.14,-0.32,89,8.1,58462.68,220,2892.77,492260.41,11,9316,0.43,FO,C,购物中心,111,T1,93,5
0.55,0.24,-0.25,89,8.1,87447.08,246,4139.7,492260.41,10,8139,0.5,FO,C,购物中心,111,T1,93,5
0.53,0.18,-0.37,89,8.2,45405.55,273,7201.41,492260.41,17,5878,0.51,FO,C,购物中心,111,T1,93,5
0.57,-0.32,-0.29,99,8,35474.61,246,9821.45,492260.41,5,11232,0.51,FO,C,购物中心,111,T1,93,5
0.51,0.21,-0.06,99,8.2,64546.4,239,2005.74,492260.41,14,7990,0.49,FO,C,购物中心,111,T1,93,5
0.51,0.16,-0.37,100,8.1,45289.82,241,1730.55,492260.41,11,14673,0.51,FO,C,购物中心,111,T1,93,5
0.51,0.17,-0.14,89,8.2,63402.86,242,3574.32,492260.41,15,19074,0.52,FO,C,购物中心,111,T1,93,5
0.58,0.27,-0.48,89,8.1,60072.61,226,1790.2,492260.41,12,8298,0.6,FO,C,购物中心,111,T1,93,5
0.58,0.06,-0.55,77,8,29670,240,4070.22,492260.41,9,8047,0.62,FO,C,购物中心,111,T1,93,5
0.71,0.47,1.95,53,7.2,88314.06,272,0,1608525.7,0,0,0.67,FO,A+,购物中心,326,T2,86,11
0.7,0.45,1.88,53,7.2,86210.64,269,5552.9,1608525.7,0,0,0.64,FO,A+,购物中心,326,T2,86,11
0.69,0.46,2.52,53,7.5,105211.73,271,0,1608525.7,0,0,0.63,FO,A+,购物中心,326,T2,86,11
0.7,0.48,3.97,53,7.7,148783.22,302,0,1608525.7,2,12255,0.66,FO,A+,购物中心,326,T2,86,11
0.71,0.46,2.4,53,7.4,101826.88,332,4053.69,1608525.7,6,5255,0.68,FO,A+,购物中心,326,T2,86,11
0.7,0.44,2.24,68,7.7,96876.92,327,12089.4,1608525.7,6,18393,0.67,FO,A+,购物中心,326,T2,86,11
0.69,0.49,0.27,68,8,165011.81,322,92,1608525.7,4,10920,0.67,FO,A+,购物中心,326,T2,86,11
0.7,0.5,3.74,68,7.9,230306.6,320,0,1608525.7,3,16595,0.65,FO,A+,购物中心,326,T2,86,11
0.69,0.47,1.07,70,7.5,149970.47,294,356.8,1608525.7,3,14695,0.66,FO,A+,购物中心,326,T2,86,11
0.69,0.49,0.87,70,7.8,238691.15,280,0,1608525.7,7,14511,0.65,FO,A+,购物中心,326,T2,86,11
0.69,0.48,1.39,70,7.7,135363.01,280,299.2,1608525.7,6,14216,0.66,FO,A+,购物中心,326,T2,86,11
0.68,0.43,0.6,68,7.7,121161.15,275,0,1608525.7,4,14166,0.64,FO,A+,购物中心,326,T2,86,11
0.69,0.48,0.5,68,7.6,132216.82,281,16801.66,1608525.7,13,14938,0.65,FO,A+,购物中心,326,T2,86,11
0.69,0.39,0.26,68,7.6,108181.42,297,202.08,1608525.7,10,12241,0.64,FO,A+,购物中心,326,T2,86,11
0.7,0.48,0.44,65,7.8,151380.47,317,4963.6,1608525.7,9,13582,0.66,FO,A+,购物中心,326,T2,86,11
