学号,课程名称,学分,平时成绩,期中成绩,期末成绩,实验成绩,总评成绩,备注,折算成绩,补考成绩,补考成绩备注,重修成绩,绩点,课程性质,课程归属,重修标记,选课课号,学年
1103,离散数学,4,100,,89,NA,92,,92,NA,,NA,4.2,专业必修课,,0,(2012-2013-2)-10404008-07010013-2,2012-2013
1103,化学与人类,2,,,84.3,NA,84.3,,84.3,NA,,NA,NA,网络公共选修课,科学与技术,0,(2013-2014-1)-10000050-jz100004-2,2013-2014
1103,大学英语（五）,4,83.5,,47,NA,65,,65,NA,,NA,1.5,公共必修课,,0,(2013-2014-1)-10304113-02010040-2,2013-2014
1103,大学物理实验,1,,,,71,71,,71,NA,,NA,2.1,实践课,,0,(2013-2014-1)-10401003-05010027-3,2013-2014
1103,大学物理(2),2,75,,71,NA,72,,72,NA,,NA,2.2,专业限选课,,0,(2013-2014-1)-10402002-05010027-1,2013-2014
1103,模拟电子技术,3,90,,65,NA,78,,78,NA,,NA,2.8,专业限选课,,0,(2013-2014-1)-10403018-05010071-1,2013-2014
1103,毛泽东思想和中国特色社会主义理论体系概论,4,92,,72,NA,80,,80,NA,,NA,3,公共必修课,,0,(2013-2014-1)-10904098-06010003-1,2013-2014
1103,概率论与数理统计,3,94,,73,NA,81,,81,NA,,NA,3.1,专业限选课,,0,(2013-2014-1)-10403009-07010001-3,2013-2014
1103,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2013-2014-1)-30900584-08080001-5,2013-2014
1103,电子电工实习,1,,,,85,85,,85,NA,,NA,3.5,实践课,,0,(2013-2014-1)-10401005-05010021-2,2013-2014
1103,健美操,2,90,,82,NA,86,,86,NA,,NA,3.6,公共必修课,,0,(2013-2014-1)-07-08010003-8,2013-2014
1103,面向对象程序设计(C++),3,90,,83,NA,86,,86,NA,,NA,3.6,专业限选课,,0,(2013-2014-1)-10403017-05010002-1,2013-2014
1103,面向对象程序设计课程设计,1.5,,,,90,90,,90,NA,,NA,4,实践课,,0,(2013-2014-1)-10401512-05010002-1,2013-2014
1103,物联网概论,2,,,92,NA,92,,92,NA,,NA,4.2,公共必修课,,0,(2013-2014-1)-10402047-05010023-1,2013-2014
1103, 影视鉴赏,2,,,88.5,NA,89,,89,NA,,NA,3.9,网络公共选修课,艺术,0,(2013-2014-2)-10000056-jz100010-6,2013-2014
1103,大学英语（四）,4,78,,43,NA,61,,61,NA,,NA,1.1,公共必修课,,0,(2013-2014-2)-10304104-02010018-1,2013-2014
1103,中国近代史纲要,2,81,,50,NA,62,,62,NA,,NA,1.2,公共必修课,,0,(2013-2014-2)-10902098-03010013-1,2013-2014
1103,计算机网络基础,4,95,,57,NA,72,,72,NA,,NA,2.2,专业必修课,,0,(2013-2014-2)-10404056-05010009-1,2013-2014
1103,Linux程序设计,4,80,,68,NA,73,,73,NA,,NA,2.3,专业必修课,,0,(2013-2014-2)-10404012-05010015-1,2013-2014
1103,健美操,2,82.2,,84,NA,83,,83,NA,,NA,3.3,公共必修课,,0,(2013-2014-2)-07-08010003-2,2013-2014
1103,数字逻辑,3,85,,85,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2013-2014-2)-10403019-05010021-1,2013-2014
1103,数学实验,1,91,,86,NA,88.5,,88.5,NA,,NA,3.85,专业任选课,,0,(2013-2014-2)-10401002-07010030-1,2013-2014
1103,MySQL数据库,3,90,,91,NA,91,,91,NA,,NA,4.1,专业必修课,,0,(2013-2014-2)-10403062-05010028-1,2013-2014
1103,传感器技术与应用,2.5,83,,75,NA,78,,78,NA,,NA,2.8,专业必修课,,0,(2014-2015-1)-10402599-20131202-1,2014-2015
1103,单片机技术,3,80,,81,NA,81,,81,NA,,NA,3.1,专业必修课,,0,(2014-2015-1)-10403016-05080001-2,2014-2015
1103,短距离无线通信技术,2.5,83,,83,NA,83,,83,NA,,NA,3.3,专业必修课,,0,(2014-2015-1)-10402596-05010005-1,2014-2015
1103,图像处理技术,2,85,,83,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2014-2015-1)-10400503-05010044-1,2014-2015
1103,音视频处理,2,87.5,,83,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2014-2015-1)-10402072-05010043-1,2014-2015
1103,RFID技术与应用,2.5,89,,88,NA,88,,88,NA,,NA,3.8,专业必修课,,0,(2014-2015-1)-10402598-05010005-1,2014-2015
1103,嵌入式程序设计,4.5,91,,91,NA,91,,91,NA,,NA,4.1,专业必修课,,0,(2014-2015-1)-10402597-05080001-1,2014-2015
1103,数据获取与处理嵌入式程序开发,2,,,91,NA,91,,91,NA,,NA,4.1,实践课,,0,(2014-2015-1)-10411113-05080001-1,2014-2015
1103,可视化程序设计(QT),3.5,86,88,86,NA,87,,87,NA,,NA,3.7,专业必修课,,0,(2014-2015-2)-10403502-05010052-1,2014-2015
1103,物联网通信与组网技术,3,90,,88,NA,89,,89,NA,,NA,3.9,专业必修课,,0,(2014-2015-2)-10403097-05080001-1,2014-2015
1103,动画制作技术,2,90,,92,NA,91,,91,NA,,NA,4.1,专业任选课,,0,(2014-2015-2)-10400501-05010044-2,2014-2015
1103,可视化程序设计,1.5,,,92,NA,92,,92,NA,,NA,4.2,实践课,,0,(2014-2015-2)-10401524-05080001-1,2014-2015
1103,无线传感器网络,2.5,90,,95,NA,93,,93,NA,,NA,4.3,专业必修课,,0,(2014-2015-2)-10403020-05080001-1,2014-2015
1103,岗前培训,3,,,85,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2015-2016-1)-10403085-05010017-1,2015-2016
1103,职业方向培训,5,,,85,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2015-2016-1)-10404092-20140705-1,2015-2016
1103,毕业设计,6,,,86.3,NA,86,,86,NA,,NA,3.6,实践课,,0,(2015-2016-1)-10021007-05080001-1,2015-2016
1105,程序设计基础(C语言),4,,,,NA,48.2,,48.2,61,,NA,1,专业必修课,,NA,(2012-2013-1)-05011049-48710,2012-2013
1105,形势与政策,0.5,,,,NA,65,,65,NA,,NA,1.5,公共必修课,,NA,(2012-2013-1)-03132092-48708,2012-2013
1105,高等数学,5,,,,NA,69,,69,NA,,NA,1.9,专业基础课,,NA,(2012-2013-1)-07132016-48713,2012-2013
1105,心理健康教育,2,,,,NA,75,,75,NA,,NA,2.5,公共课,,NA,(2012-2013-1)-10332063-48716,2012-2013
1105,线性代数,3,,,,NA,75,,75,NA,,NA,2.5,专业基础课,,NA,(2012-2013-1)-07132103-48714,2012-2013
1105,马克思主义基本原理,2,,,,NA,76.4,,76.4,NA,,NA,2.64,公共基础课,,NA,(2012-2013-1)-03011001-48707,2012-2013
1105,大学英语,4,,,,NA,78.6,,78.6,NA,,NA,2.86,公共课,,NA,(2012-2013-1)-04132060-48709,2012-2013
1105,计算机导论,2,,,,NA,85,,85,NA,,NA,3.5,公共必修课,,NA,(2012-2013-1)-05132035-48712,2012-2013
1105,体育,1,,,,NA,85,,85,NA,,NA,3.5,专业基础课,,NA,(2012-2013-1)-08011003-48715,2012-2013
1105,公共体育,1,,,87,NA,87,,87,NA,,NA,3.7,公共基础课,公共体育必修,0,(2012-2013-2)-08132037-08010027-7,2012-2013
1105,法经济学,2,66,,65,NA,65,,65,NA,,NA,NA,公共任选课,跨文化选修,0,(2012-2013-2)-03041015-05010016-1,2012-2013
1105,程序设计基础项目,1.5,,,,80,80,,80,NA,,NA,3,实践课,,0,(2012-2013-2)-10401510-05010034-1,2012-2013
1105,大学英语(2),4,95,95,75,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-10304008-04010016-3,2012-2013
